Building ID,Building Name,Location,Description,Date,Energy Consumption (kWh),Occupancy (People),Carbon Emissions (kg CO2),HVAC Usage (Hours),Renewable Energy Contribution (%),Water Usage (Gallons),Outdoor Temperature (°F),Latitude,Longitude
1,Building A,New York,Prime office space with modern amenities.,2023-11-17,569.89,118,199.46,10.0,50.99,1098.82,44,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-11-18,310.46,0,108.66,0.0,45.58,0.0,33,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-11-19,374.56,0,131.1,0.0,52.08,0.0,65,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-11-20,712.78,113,249.47,8.0,46.82,529.22,61,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-11-21,553.02,100,193.56,9.0,47.91,511.19,58,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-11-22,513.48,91,179.72,9.0,49.56,480.95,47,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-11-23,527.92,100,184.77,10.0,45.46,510.75,43,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-11-24,520.93,82,182.32,11.0,54.66,435.29,99,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-11-25,331.86,0,116.15,0.0,45.98,0.0,41,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-11-26,351.38,0,122.98,0.0,46.22,0.0,84,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-11-27,488.25,116,170.89,9.0,51.63,558.16,34,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-11-28,604.82,101,211.69,8.0,54.7,532.79,33,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-11-29,705.48,115,246.92,10.0,54.22,527.68,41,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-11-30,527.04,81,184.46,9.0,48.89,386.48,57,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-12-01,678.9,94,237.61,9.0,50.43,436.25,59,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-12-02,403.52,0,141.23,0.0,45.75,0.0,94,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-12-03,399.2,0,139.72,0.0,46.99,0.0,33,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-12-04,675.71,108,236.5,10.0,52.71,494.0,55,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-12-05,566.03,84,198.11,11.0,51.23,405.8,99,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-12-06,495.25,92,173.34,9.0,52.3,472.66,83,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-12-07,692.93,98,242.53,8.0,52.13,515.56,58,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-12-08,614.71,110,215.15,9.0,50.23,542.03,87,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-12-09,291.66,0,102.08,0.0,46.08,0.0,65,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-12-10,379.64,0,132.88,0.0,48.14,0.0,30,40.7128,-74.006
1,Building A,New York,Prime office space with modern amenities.,2023-12-11,697.82,89,244.24,9.0,52.56,420.86,50,40.7128,-74.006
